p,boost,half_width,l_adv_km,score,rmse
1.0,1.0,30.0,20.0,-1.349848136455368,1.349848136455368
1.0,1.0,30.0,50.0,-1.3632412688598976,1.3632412688598976
1.0,1.0,30.0,100.0,-1.370948507953656,1.370948507953656
1.0,1.0,45.0,20.0,-1.349848136455368,1.349848136455368
1.0,1.0,45.0,50.0,-1.3632412688598976,1.3632412688598976
1.0,1.0,45.0,100.0,-1.370948507953656,1.370948507953656
1.0,1.0,60.0,20.0,-1.349848136455368,1.349848136455368
1.0,1.0,60.0,50.0,-1.3632412688598976,1.3632412688598976
1.0,1.0,60.0,100.0,-1.370948507953656,1.370948507953656
1.0,1.0,90.0,20.0,-1.349848136455368,1.349848136455368
1.0,1.0,90.0,50.0,-1.3632412688598976,1.3632412688598976
1.0,1.0,90.0,100.0,-1.370948507953656,1.370948507953656
1.0,2.0,30.0,20.0,-1.346720450635741,1.346720450635741
1.0,2.0,30.0,50.0,-1.363716401809195,1.363716401809195
1.0,2.0,30.0,100.0,-1.3726391870476358,1.3726391870476358
1.0,2.0,45.0,20.0,-1.3453970633186632,1.3453970633186632
1.0,2.0,45.0,50.0,-1.3627876365743465,1.3627876365743465
1.0,2.0,45.0,100.0,-1.3717116648310639,1.3717116648310639
1.0,2.0,60.0,20.0,-1.3457581437851183,1.3457581437851183
1.0,2.0,60.0,50.0,-1.3629726424899604,1.3629726424899604
1.0,2.0,60.0,100.0,-1.3719568923711123,1.3719568923711123
1.0,2.0,90.0,20.0,-1.3514109994596197,1.3514109994596197
1.0,2.0,90.0,50.0,-1.3672554182476284,1.3672554182476284
1.0,2.0,90.0,100.0,-1.376349865900083,1.376349865900083
1.0,3.0,30.0,20.0,-1.352359909302002,1.352359909302002
1.0,3.0,30.0,50.0,-1.3730917878447801,1.3730917878447801
1.0,3.0,30.0,100.0,-1.3830791410807417,1.3830791410807417
1.0,3.0,45.0,20.0,-1.3536297749143416,1.3536297749143416
1.0,3.0,45.0,50.0,-1.374989003519211,1.374989003519211
1.0,3.0,45.0,100.0,-1.3848784383804698,1.3848784383804698
1.0,3.0,60.0,20.0,-1.3564406771680035,1.3564406771680035
1.0,3.0,60.0,50.0,-1.3770417165293745,1.3770417165293745
1.0,3.0,60.0,100.0,-1.3868380471770898,1.3868380471770898
1.0,3.0,90.0,20.0,-1.3648494809370069,1.3648494809370069
1.0,3.0,90.0,50.0,-1.3828774273536186,1.3828774273536186
1.0,3.0,90.0,100.0,-1.392810033797371,1.392810033797371
1.0,5.0,30.0,20.0,-1.3722308543029689,1.3722308543029689
1.0,5.0,30.0,50.0,-1.3995819492082284,1.3995819492082284
1.0,5.0,30.0,100.0,-1.4111656192232678,1.4111656192232678
1.0,5.0,45.0,20.0,-1.3812682533173646,1.3812682533173646
1.0,5.0,45.0,50.0,-1.4089909728911068,1.4089909728911068
1.0,5.0,45.0,100.0,-1.420099497065788,1.420099497065788
1.0,5.0,60.0,20.0,-1.387467108086965,1.387467108086965
1.0,5.0,60.0,50.0,-1.41251932453964,1.41251932453964
1.0,5.0,60.0,100.0,-1.4230507619364412,1.4230507619364412
1.0,5.0,90.0,20.0,-1.3924892904933652,1.3924892904933652
1.0,5.0,90.0,50.0,-1.4129570220217964,1.4129570220217964
1.0,5.0,90.0,100.0,-1.4237268720794083,1.4237268720794083
1.0,8.0,30.0,20.0,-1.4055689617113045,1.4055689617113045
1.0,8.0,30.0,50.0,-1.4395049832580427,1.4395049832580427
1.0,8.0,30.0,100.0,-1.4522864418552384,1.4522864418552384
1.0,8.0,45.0,20.0,-1.424571783237594,1.424571783237594
1.0,8.0,45.0,50.0,-1.4575570063123977,1.4575570063123977
1.0,8.0,45.0,100.0,-1.4692332697463746,1.4692332697463746
1.0,8.0,60.0,20.0,-1.4305435977108014,1.4305435977108014
1.0,8.0,60.0,50.0,-1.4580447805568522,1.4580447805568522
1.0,8.0,60.0,100.0,-1.468591570081928,1.468591570081928
1.0,8.0,90.0,20.0,-1.4227372859837553,1.4227372859837553
1.0,8.0,90.0,50.0,-1.4442428814641608,1.4442428814641608
1.0,8.0,90.0,100.0,-1.4554208291856714,1.4554208291856714
1.5,1.0,30.0,20.0,-1.3454692504236048,1.3454692504236048
1.5,1.0,30.0,50.0,-1.3527193330855363,1.3527193330855363
1.5,1.0,30.0,100.0,-1.3575443509405292,1.3575443509405292
1.5,1.0,45.0,20.0,-1.3454692504236048,1.3454692504236048
1.5,1.0,45.0,50.0,-1.3527193330855363,1.3527193330855363
1.5,1.0,45.0,100.0,-1.3575443509405292,1.3575443509405292
1.5,1.0,60.0,20.0,-1.3454692504236048,1.3454692504236048
1.5,1.0,60.0,50.0,-1.3527193330855363,1.3527193330855363
1.5,1.0,60.0,100.0,-1.3575443509405292,1.3575443509405292
1.5,1.0,90.0,20.0,-1.3454692504236048,1.3454692504236048
1.5,1.0,90.0,50.0,-1.3527193330855363,1.3527193330855363
1.5,1.0,90.0,100.0,-1.3575443509405292,1.3575443509405292
1.5,2.0,30.0,20.0,-1.340842660440231,1.340842660440231
1.5,2.0,30.0,50.0,-1.3510881942294206,1.3510881942294206
1.5,2.0,30.0,100.0,-1.3570656346871928,1.3570656346871928
1.5,2.0,45.0,20.0,-1.339246674904247,1.339246674904247
1.5,2.0,45.0,50.0,-1.3499325432950435,1.3499325432950435
1.5,2.0,45.0,100.0,-1.3559912665541909,1.3559912665541909
1.5,2.0,60.0,20.0,-1.3395494740268565,1.3395494740268565
1.5,2.0,60.0,50.0,-1.3502187329031818,1.3502187329031818
1.5,2.0,60.0,100.0,-1.3562652636540737,1.3562652636540737
1.5,2.0,90.0,20.0,-1.3460181919812582,1.3460181919812582
1.5,2.0,90.0,50.0,-1.3554883656196561,1.3554883656196561
1.5,2.0,90.0,100.0,-1.361266118741613,1.361266118741613
1.5,3.0,30.0,20.0,-1.3443118995306733,1.3443118995306733
1.5,3.0,30.0,50.0,-1.3582787509233176,1.3582787509233176
1.5,3.0,30.0,100.0,-1.3654688247656934,1.3654688247656934
1.5,3.0,45.0,20.0,-1.3449032692515948,1.3449032692515948
1.5,3.0,45.0,50.0,-1.3598559689363454,1.3598559689363454
1.5,3.0,45.0,100.0,-1.3671684543524403,1.3671684543524403
1.5,3.0,60.0,20.0,-1.3476861307028747,1.3476861307028747
1.5,3.0,60.0,50.0,-1.362391087443104,1.362391087443104
1.5,3.0,60.0,100.0,-1.3695330420641942,1.3695330420641942
1.5,3.0,90.0,20.0,-1.357766805053137,1.357766805053137
1.5,3.0,90.0,50.0,-1.370036287055621,1.370036287055621
1.5,3.0,90.0,100.0,-1.3766310429693056,1.3766310429693056
1.5,5.0,30.0,20.0,-1.359662948760053,1.359662948760053
1.5,5.0,30.0,50.0,-1.3809527333483773,1.3809527333483773
1.5,5.0,30.0,100.0,-1.3902809992702647,1.3902809992702647
1.5,5.0,45.0,20.0,-1.36756537649475,1.36756537649475
1.5,5.0,45.0,50.0,-1.3903101374767073,1.3903101374767073
1.5,5.0,45.0,100.0,-1.3996283014556377,1.3996283014556377
1.5,5.0,60.0,20.0,-1.3744958900182658,1.3744958900182658
1.5,5.0,60.0,50.0,-1.3955135251003035,1.3955135251003035
1.5,5.0,60.0,100.0,-1.404082284848157,1.404082284848157
1.5,5.0,90.0,20.0,-1.3831302681575992,1.3831302681575992
1.5,5.0,90.0,50.0,-1.3990212900170198,1.3990212900170198
1.5,5.0,90.0,100.0,-1.4065383222456922,1.4065383222456922
1.5,8.0,30.0,20.0,-1.3877003561545322,1.3877003561545322
1.5,8.0,30.0,50.0,-1.4172629088084536,1.4172629088084536
1.5,8.0,30.0,100.0,-1.4286604588736158,1.4286604588736158
1.5,8.0,45.0,20.0,-1.4058282077250164,1.4058282077250164
1.5,8.0,45.0,50.0,-1.4361819970254845,1.4361819970254845
1.5,8.0,45.0,100.0,-1.4470966380651182,1.4470966380651182
